"ds","id","query","product_title","product_description","median_relevance","relevance_variance"
"11",28,"oakley radar"," gray lens oakley one pitch radar replacement size"," 100 accessory achieve activity adapt advanced airflow amount angle available best bond can choose clarity clear conventional cooling coverage crystal definition design designs distortion durable earth eliminate ellipsoid engineered environment equipment every facial filter filters found geometry get glarecutting haze hdo high impact including infusion innovations interchangeable lens lenses let level like liquid material maximizes molecular mother nature oakley offer offers optics outdoor patented performance physique piece plutonite polaric polarization polarized polarizing precise process protection radar range rays sculptured sets shapes sport sports sun superior sure technologically technologies technology three unbeatable unique uses vented view vision way well wide works",3,0.471
"12",31,"workout clothes for women"," peyton plus size tank tulah","",3,0
"13",32,"decorative pillows"," 18x18 circle decorative fill gray pillows poly ruffle surya"," accent accents addition ally bedroom beige choose clean color cover featured fill imported leap living make perfect pillow polyester removable room simple solid spot square stylish surya textured toss will yet",4,0.943
"14",35,"wall clocks"," clock controlled lorell profile radio round wall"," atomic clock controlled digital lorell profile quartz radio round wall",4,0
"15",46,"cuisinart coffee maker"," 14cup coffeemaker cuisinart dcc3200 perfectemp programmable"," 14cup 24hours ahead backlit bold brewtime can choose coffee coffeemaker control cuisinart cuttingedge decalcify easytoread equipped flavor give hotter indicator lcd light profile programmable ready regular sacrificing set signals strength taste technology time tone turned without",4,0
"16",52,"thomas the train"," bachmann christmas electric express ready run scale set thomas train trains"," ages arrive booklet brave brighter car cargo children christmas control crated decorated decoration deliver electric engine equipped express eyes fan festive flat fun gift hat holiday important includes instruction island jolly life load make merry moving open oval pack party perfect plow power ready readytorun run scale set snapfit snow sodor speed sporting sure tank thomas time track train tree van ventilated wagon weather will winter wonderful yuletide",4,0.943
"17",54,"silver necklace"," freeform fremada necklace silver sterling"," accessor chain closure contemporary crafted everyday glow makes necklace offers perfect radiant ring secures silver spring sterling versatile",4,0
"18",56,"bluray hobbit extended"," 169 anamorphic armies battle bluray disc five hobbit widescreen"," 00794043164507 03242015 169 anamorphic armitage bluray disc freeman ian linewarner martin mckellen new richard starring widescreen",3,0.748
"19",58,"cat grass"," 60gr 731072 cat gimborn grass plus single"," 60gr 731072 acts also bring cat cats catgrass catitem cats container digestive eat formula fresh gimborn grams grass great grows hairball helps houseplants inside just natural one outdoors plus precious preserves remedy requires satisfies single straight system type unique urge vegetation watering weekproduct weight",4,0
"20",59,"soda stream"," home kit maker soda sodastream"," 60liter 912 account add also bottle bottles bpafree brookstone button can cans carbon carbonating carbonator carrying cases cents choice click cost create cut diet drastically drink easy economical energy energyand enjoy environment even everything fill fizz flavor flavored flavoring flavors footprint freshly genesis great helping home homemade homewith included includes information itmore just kit large less light like liter machine made make maker money nutritional one oneliter order pack per perfect plus press push quick reducing regular reusable sampler save saves savings screw seconds seltzer soda sodamix sodastream store storebought storing sweet taking tap time today top transform use variety want waste water way youll",3,0.471
"21",63,"microwave"," black ffce1439lb freestanding frigidaire microwave oven","",4,0
"22",64,"aqua shoes"," aqua bryar mates nurse womens","",4,1.414
"23",65,"leather mens briefcase"," bifold blocking double flap genuine leather mens rfid royce wallet"," bifold bill blocking business card cards carriers clever convenient credit dollar double eight electronic features flap genuine gift handsome highquality idea information interior keep leather life long made men mens personal placed private protected readers rfid royce shield slots stealing thoughtful two wallet wallets way",3,0.943
"24",66,"girls halloween costumes"," child colonial costume girl halloween"," american black blouse blue care chart child clean clothing colonial content costume cotton detailed dry early fulllength girl halloween include includes instructions lace lady material navy peplum polyester revolutionary road see size sizing skirt style traditional travel trimmed vary wig will year",2,0.471
"25",71,"knife victorinox"," 525 army knife serrated swiss utility victorinox"," 40004 beef blade carved classic classy clean comfortable construction countless creates customizations cut cutlery cuts easy family favorite generally handle inch knife knifes lighter look make member numerous patrons pork pounds reliable restaurants rosewood round serrated served slicing stamped steak style table taste thinner tipped tried true used variations victorinox",4,0
"26",72,"micro usb to hdmi"," adapter black cirago hdmi mhl mhl1000 micro usb"," 1080p 11audio 11requires 13mhl adapter audio audiocolor audioconnects black charging cirago compatible connect connector content device digital enabledinterface female femalehdmi hdmi hdmienabled hdtv hdtvfeaturesconnect hdtvsupports highdefinition ideal incorporates link male maleconnects mhl mhl1000 micro mobile monitor playback power secondary sharing simultaneous smartphone source supporting tablet technology usb version via video videoaudio",2,1.02
"27",73,"zippo"," 28458 box chrome lighter new prayer satin serenity windproof zippo","",4,0
"28",74,"sleeping bags"," bag chrysalis sleeping snugpak"," allowing assistance bag built can chrysalis comes comfort drop expander led overnight panel perfect sleeping snugpak spacious temperature trips well zero",4,0
"29",80,"routers"," belkin extender f9k1015 range white wifi","",2,1.02
"30",83,"hello kitty"," dot footed girls hello kitty polka sleeper","",4,0
"31",88,"golf clubs"," 12piece club complete golf mens nitrix pinemeadow pro righthanded set"," alterego array bale bat batman begins body bruce cape christian city cowl crusader dark david deceptions digital discovery disillusioned emergence english explores fear fearful fight files force forces french gallery genesis good gotham goyer heir high industrial injustice intellect japanese journey knights korean languages legend masked means mind murder night origins parents path prey prologue reflections returns rises saving seeking shaping sinister spanish spoof stills strength stuntsconfidential subtitles tankman tech theatrical threaten trailer travels tumbler turn unveils uses wake wayne world writing",4,0
"32",89,"converse low top"," chuck converse low sneaker taylor top womens"," athletic canvas cap chuck converse cushioning detail express front individual insole laceup lining logo low midsole outsole rubber sneaker star striped style taylor toe top traction upper",4,0
"33",90,"memory foam pillow"," 2in1 foam innovations memory pillow reversible sleep","",4,0.471
"34",91,"kitchen faucet"," bronze faucet kitchen lever modern oil rubbed single","",2,1.02
"35",94,"hollister polo"," george mens polo short sleeve"," around boot children cold cool features front ideal look love ones outside outstanding playing protection provides running sledding snow winter young youth",3,0.471
"36",98,"dc shoes black"," blackwhite shoes trase womens"," abrasionresistant breathability canvas classic clean construction dcs design eyelets features featuring feel include lightweight logo low lowtop metal new ntroducing original outsole printed profile rubber shoe silhouette skate sticky surely trademarked trase upper vulcanized will",4,0.471
"37",103,"donut shoppe k cups"," coffee count donut kcups keurig medium roast shop","",4,0.471
"38",105,"hollister polo"," cold coldeeze free honey lemon lozenges remedy sugar"," actual differ due gluconate glycine homeopathic image manufacturer may note packaging product shown updates zinc",1,0
"39",108,"eye cream"," 15g authentic cream elastiderm eye nib obagi sealed treatment","",4,0.8
"40",109,"plantronics corded headset"," 2608811 corded ear h31 headset mono plantronics starset","",4,0
"41",110,"sleeping bags"," 30degree bag kids leopard pink sleeping stay warm wildkin"," wildkin",4,0
"42",112,"ps3 wireless controller"," camouflage controller dualshock ps3 urban wireless"," action adventure around assortment bluetooth cable camouflage charge color comfortable comfy compatible connectedeven controller controllers controls covered crash dualshock enough ergonomic every explosion feel freedom friends game gearing gives grip hours intense intuitive juice keep keeps like look low make may motionsensing move part playstation print ps3 running sixaxis stay style unique urban usb using vary vibration will wireless youre",4,0
"43",113,"bluesky gel nail polish"," 033oz 510 bluesky fedora gel nail polish purple soak"," bluesky boring choose colors comfort damage days deserve door easy ever feet give glamour hands highgloss home incredible many nail nails natural never provides quick remove salon shellac suitable treatment walk wear will",4,0.471
"44",115,"yankee candle"," black brand candle coconut jar large new priority shipping yankee","",4,0.471
"45",119,"projector"," in112a in114a in116a infocus lamp projector"," certified description in112a in114a in116a infocus lamp projector replacement splamp086",2,0.98
"46",122,"macbook case 13 case"," air case macally macbook"," 2piece access air allows antislip buildup case clean computer custom design designed dings durable features feet fit gel heat includes keep lightweight looking macally macbook models offers openings ports pristine protect providing reduce scratches sensors silica snapon specifically stateoftheart still transport vent without worry",4,0.943
"47",124,"girls halloween costumes"," blue costume crayola girls halloween one size teen tween","",4,0
"48",126,"iphone 5"," iphone juice mophie pack plus red"," 39367bbr additional apple battery case charge charging hours iphone juice life little materials mophie offer pack plastic plus protection provides rubber time",3,1.095
"49",135,"vanity fair bras"," 100 fair hardcover vanity years"," 100 1913 1983 2013 age art artists birth bold book boomboom century commerce controversial crisis crowninshield cultureboth day decadebydecade depression describe editor era everyone exhaustive fair format frank glamorous greatest groundbreaking highbrow history illustrators imagery imagesaturated imagination impact inception incomparable information jazz literary look low magazine magazines modern narrative oscar party peerless personality photographers power presented reagan rebirth reincarnation seen showcases stopping sumptuous sweep takes timecapsule unfolded using vanity visual want will wit world years",2,0.471
"50",136,"duffle bag"," black duffel pittsburgh roadblock steelers"," 115 115hx20wx13d 130 200 accomplishments activity adustable american bag beauty belongings bill bowl casual celebrating champion closure cmon companion compartments day description dimensions duffel ease enough exterior fans features fine fit football franchise full getaway gym handle handsome hear includes info interior lets limited liner magnificent make manufacturer material measures multiple need nfl noise nylon offers one perfect pittsburgh polyester proud removable roadblock roomy shell shoulder showcase spaciousness spirit stand steelers stitched strap super teams time travel trip type undying warranty weekend weight will winningest zip zippered",4,0.471
"51",143,"white plain dinner set"," corelle dinner plain plate set white","",4,0.471
"52",145,"dress shirts"," boys dress george piece set shirt tie"," 2piece also assorted boy boys choose closet comfortable design dress existing george great impeccable look make match mix options piece set sharp shirt smart tie will",3,0.433
"53",151,"led christmas lights"," black christmas extension led lights set twinkling warm white wire"," 24v black christmas connect extension flexible led leds lighting lights new set system twinkling warm white wire",4,0
"54",161,"steel necklace"," 316l chain cross fashion gift mens necklace pendant silver stainless steel","",3,0.471
"55",164,"kitchenaid mixer"," attachment food grinder kitchenaid mixer refurbished rrfga"," accessorize attachment bread cheese coarse dry fine firm fruits grind grinding includes kitchenaid meats mixer plates quickly stand vegetables versatile",2,0.471
"56",171,"dc shoes black"," blackgreyyellow boys pure shoes"," abrasionresistant ages allows also bottom canvas collar comfortable construction dcs design either eyelets features foampadded heavyduty kids lace leather lightweight locks mesh metal multitone outsole pattern pill pure resilient rubber soft sole sticky tongue trademarked upper vulcanized walking",3,0.471
"57",172,"duffle bag"," bag carry day duffle duty every heavy large odg shoulder tactical"," 600d access accommodate additional adjustable bag can carry compartment constructed day dual duffle duty easily environments every excursion features fit gear hand handles harsh heavy hiking inside items longer main mission mouth need pocket polyester pull ready shoulder side smaller stash strap tabs times well wide withstand zippers",4,0.49
"58",173,"hello kitty"," 34ounce eau hello kitty sanrio spray tester toilette womens"," 34ounce available design eau fragrance hello house introduced kitty perfume sanrio spray tester toilette",3,0.471
"59",176,"pots and pans set"," cooking cookware food kitchen pans piece pots set stainless steel","",4,0.433
"60",181,"electric blanket"," blanket channeled electric grey heated king microplush size slate sunbeam"," 100 1015 allow also autoadjusts bills blanket blankets care channel channeled comfort consistent control controls dryer dual easy easytooperate edges elegance exactly fabric find finish full fully grey heat heated heating hemmed hours includes indulge keep king level levels limited machine made makes microplush monitors night pattern percent personalized polyester prepare queen restful rich right safe save setting settings simple single size slate sleeping smooth softness soothing sophistication stylish sunbeam system temperature thermofine thermostat throughout touch turning twin ultrasoft warming warmth warranty washable year",4,0
"61",183,"aveeno shampoo"," 338 body envy essences herbal shampoo volumizing"," 338 added also applicator best body colortreated combine comes conditioner convenience envy essences exhilarating flower formula fresh gives hair herbal ideal including infused just lather lightweight natural passion pearl pump quit results rich scent separately shampoo shine sold thick types volume volumizing wont works",2,0.471
"62",189,"blender"," blender bosch pitcher plus universal"," 800 anything attached baby blades blend blender bosch butters capacity cleaning color crumb cup cups deep designed dimensions easy features fit fits foods four fresh funnel high inches includes large lid make materials mix mixer mixers motor nut older pitcher plastic plus puree removable sandwich sauces settings six soups speeds spreads title universal uses watts white wide",4,0.943
"63",194,"skechers womens shoes"," bungee crosstrainer danskin girls now shoe tie"," outsoleevafabric upperpumesh useasoftbristlebrushtoremoveanysurfacedirtordustfromtheshoe",2,0.894
"64",195,"bird seed feeder"," bird feeder free jar mason new perkypet shipping wild","",4,0
"65",197,"long prom dress"," belt dress lace long mesh petites ribbon richards"," allover belt classic darling dress elegance exude features formal lace long mesh ribbon richards rose waist",2,0.943
"66",199,"led christmas lights"," christmas figure glitterdome led lighted scene swirling town tree winter"," 65d 85h back bases battery bottom christmas colorful convenient dimensions figures glitter glitterdome glitterdomes included includes inside intervals iridescent item led lighted lights lit magnetic materials motor onoff operated pack resinplastic scene shown surrounded swirling swirls switch timed town tree trees winter wintry within",2,0
"67",200,"harleydavidson"," art coated davidson eagle finish framed gel harley print","",3,0.471
"68",201,"harleydavidson"," hardcover harleydavidson ultimate"," 1911 1999 age backyard beautiful bike bikes charts closeups company comprehensive coveted decade detail distinguish engines examined first generation golden harleydavidson harleys history indepth lightning lovers milwaukee minute model moment new postwar presented presents rolled seventy shed soughtafter specifications stunning technical time todayultimate updated visually vtwin whether",2,0.748
"69",204,"bike lock"," 10mm 5ft bike black key lock match wordlock"," 10mm benefitsmatchkey bike bracket cable color etched features feet flexible heavyduty key laser lock long match matches mounting products shape steel system thick unique word",4,0
"70",211,"rain jacket"," cloudburst jacket rain","",4,0
"71",214,"duffle bag"," bag duffle walterdrake"," adjusts bag duffle duffles durable easy leatherlike lightweight luggage nests part polyester removable rugged set storage strap stylish tapestry trim waterresistant yet",4,0
"72",215,"lego star wars"," 7694 frigate lego minifigs republic star wars","",4,0.471
"73",217,"reusable straws"," bag bottle happens itzy jungle reusable ritzy snack straw thermos"," 7inch adorable allows also approved bags better body bottle bpafree bribes candy carriers certified cleaning colorful combines come contained containers copolyester cpsia crackers crumbs dishwashersafe durability eastman easy ecofriendly even ever everything existed fda forget free fruit getting hands happens home ideal impactresistant itzy keep kidfriendly lead leave lightweight lining little machine made measures messy modern much never ounces patterns phthalate plastic portability reusable reusing ritzy sandwiches silent smart snack snacking snacks stash straw stuck stylishly superior thermos theyre thinking top tritan velcro washable without youll zipper zippered",4,1.414
"74",218,"projector"," battery builtin digital embedded led minibeam ph300 projector tuner"," 100inch 1280 25hour 720 auto automatically battery builtin cable compatible content control convert corrects degrees digital display easily features hdmi included keystone lamp led light media minibeam picture play plug projector remote resolution rgb screen size skewed source straight tablet tuner usb",4,0
"75",220,"kitchenaid glass bowl"," bowl box glass k5gb kitchenaid mixer new stand","",4,0
"76",221,"yoga mat"," collection fashion macbeth margarita mat yoga"," accessory around carry class cleans collection dirty easily fashion fit fitness get help home keep macbeth mat perfect right safety slipresistant style unroll yoga",4,0
"77",228,"portable hard drive"," 2tb black canvio connect drive external hard portable toshiba"," 1300000 2tb 54000rpm 571000 access allowing also black canvio capacity centralized compatible computer connect designed drive ease easy effortlessly enhance external files handy hard hold hours important keep let media microsoft music photos pictures portable quickly retrieve speed store toshiba use using way will windows",4,0
"78",230,"harleydavidson"," harleydavidson paperback philosophy","",4,0.943
"79",232,"rice cooker"," 10cup cooker rice stainless steam steel tray","",4,0
"80",241,"ps3 wireless controller"," candy controller ps3 red rock wireless"," adapter black buttons can candy controller controllers convenience design enjoy express extent features full game games including instead personality play ps3 red rock standard style system traditional translucent use video wireless",3,0.748
"81",243,"power surge protector"," accell center power powramid protector surge"," 1080 absorption accell advanced automatically available black capacity center conducting connected continue cord damage description devices even exposing features foot grounded joules longer maximum mov patented potential power powramid protection protector protectors provides providing reached safety stop stops supply surge technology typical white",4,0.471
"82",245,"toaster oven"," 4slice oster toaster"," 4slice big conveniently conventional foods grab heating ideal leftovers meal oster oven prepares quick snack toaster turn without",4,0
"83",247,"face cream"," cream face lilie moisturizer organic retinol vallee"," aging amount antiaging antioxidants apply boasts clinically cocktail combined damage day diminish directions due elasticity exposure face fight fine firmness formulation free lines list long moisturizer neck night organic oriented ozorganic paraben powerful premature properties proven radical renew restorative restore result retinol skin small sun sunscreen thickness used vitamin well will wrinkles",2,0.943
"84",248,"hawaiian shirt"," mossimo polo shirt supply"," applied banded basic bleach button care chlorine cleaning closure cold collar cotton cuff delicate details dry front garment gentle heat hem hip iron junior knit length low machine material neckline needed non normal pattern pique plain polo round set short sizing sleeve solid spandex style tumble type wash",2,0
"85",249,"multiple phone charger"," 16gb cell dualsim galaxy gsm mini phone samsung unlocked"," certification comfortable compact conveniently design dust enjoy feel free galaxy ip67 liquids makes mini much offers onehanded performance phone practically rain resistant sand situation size slim super sweat technology unsurpassed use",1,0.471
"86",252,"hollister polo"," 4pack boys bundle george longsleeve polo shirts value"," 4pack also backtoschool blend boys breathability bundle can childs collar colors come complete cotton cuffs essentials feature fine flat george ideal include irritation itching jeans knit label longsleeve look made matched matching mixed paired patch polished polo prevent protector rib school scotchgard seam shirts side soft stains style sweat tagless traditional treated uniform value variety vents wardrobe",2,0.632
"87",253,"table clock"," carriage clock howard miller table windsor"," 1920s 25d accent add base batteryoperated began beginning behind beveled bezel black brass cabinet carriagestyle cherry clock clocks company cover crafted crystal design elegance encompass evolving features finish floor furniture generations glass handsome hardwoods home howard impressed inches largest last making mantel manufacturer manufacturing metal michigan miller movement numerals perfectly polished proudly quality quartz renowned reputation rich roman see select setting sides stands style superior table top veneers wall warm waterfall will windsor worlds",4,0.866
"88",265,"rain boot"," black boots rain red tall womens"," backyard bad boots chic choose chores day durable easily fabric feet gardens help keep knit lined muck pair perform rainy rubber soft soil sturdy tidy toes warm washable wear weather will withstand",4,0
"89",266,"cat grass"," cat dry food kitty lbs outdoor special"," active actually advanced also always animal attention best bone can cat cats crave delicious dry energy extra eye food formula health highquality ingredients item kitty knows lbs made may needed needs nutritious one outdoor pets premium product products provide reward rule serve smile special specific supports tastes thanks thats tooth trust uses varieties want wholesome will",1,0
"90",268,"vanity fair bras"," 4pack 96014 bra comfort frontclose fruit loom sports style"," 96014 adem<U+00E1>s algod<U+00F3>n capas caracter<U+00ED>stica cerca cierre cobertura colores comfort complicaciones con conformaci<U+00F3>n confort construye d<U+00ED>as del delante delanteros deportivo diario elige esta estilo f<U+00E1>cil fr<U+00ED>o frente frontal frontcerrar fruit fruncida fruta lavar llevar loom los m<U+00E1>quina mejor mejorar para perfecto sin sost<U+00E9>n sujetador tiene todos una uno uso variados",3,0.471
"91",269,"wii microphone"," 360 band logitech microphone nintendo official ps3 rock tested usb wii xbox","",4,0.4
"92",271,"high chairs"," chair cosco fold high simple zury"," 3point 3position adjustable along away baby builtin car chair child clean cleanup comfortable compact cosco cup design designed dining easily easy eat extra feet flat fold folds full fun gives giving goo great grows harness hide high holder home invite just keeps lbs leg little makes making meal meals messy need nononsense pack pad place quickly rest ride room seat seconds secure sets sight simple size specially stands storage stow take taking thanks threeposition times traveling tray whether wipe wipeable zury",2,0.8
"93",275,"san francisco 49ers"," 49ers francisco hooded infant nfl official one san size towel"," baby cloth dry hooded keep logo made printed soft super terry towel warm",4,0.471
"94",276,"stick vacuum"," 2in1 53y8 bissell cordless floors liftoff stick vacuum"," 2in1 bissell brush choice clean convenient cordless detachable easy effectively everyday floor floors hand includes liftoff makes messes onoff powerful roll safely smart stairs stick switch types upholstery vacuum",4,0
"95",279,"ice cream maker"," cream deluxe double ft03 ice koolatron maker treat"," 4aa 6hx6wx10l automatically batch batteries book can chocolate clean cone cream deck delicious deluxe different dishwasher double easy flavors hit ice includes ingredients inspiration instruction koolatron maker manual mix mixing must now one perfect place purchased reached recipe requires safe separately side starts stops sweet switch temperature time treat two vanilla",4,0
"96",281,"an extremely goofy movie"," frame full goofy movie"," acclaimed actionpacked adventure animation answered bigfoot blend bonds calling can cartoon characters classic close comedian comedy comic concert crash critically crosscountry dad dear delightfully disney disneys dvd ears encounter endearing enjoy escapes even ever family filled finale find fishing floppy fulllength fun game goof goofs goofy great hilarious hit hole irresistible laughter learn legendary little lovable love max memorable minutes misadventure modernday motion movie music narrow nothing now old outrageous performed picture quality question road rock route scenes showstopping son spectacular stage stars story storybook success taking teenage theatrical theres tradition trailer trip trivia unforgettable will wrong",3,0.894
"97",289,"gym gloves"," black everlast glove wristwrap","",2,0.748
"98",290,"double stroller"," baby contours double elite new options sand stroller tandem twin"," 800000 arial auth berlin best black bold center color contours cooper covered dealers demi double elite fontfamily fontsize full gill large mfg options pnew pppppptdtrtable pthe purchase pwe sand sans stroller style1 style10 style11 style12 style13 style14 style15 style2 style3 style4 style5 style6 style7 style8 style9 table tandem textalign textdecoration twin ultra underline warranty will worlds xlarge xxlarge",4,0
"99",295,"wine rack"," 120bottle bin jumbo mahogany rack wine"," 120bottle beautiful bin color durable ecofriendly even ever grain handcut handsanded jumbo now rack remarkably wine",4,0
"100",296,"leather mens briefcase"," briefcase laptop leather red removable sleeve"," 154 absorb access alleviate bag body business cards cell computer connected disk divided double easy features forearm gadgets gusseted holds honeycomb includes inside italian laptop lbs leather lightweight loops luxurious media memorystructure neoprene nonslip offers one organizer outer padded pads pen phone plus pocket protects removable second section sections shock shoulder sleeve space stay strain strap straps stylishly top tubular ushape weighs zip zipper",3,0.471
"101",299,"wall clocks"," bulova clock gymnasium wall"," 1875 1911 23yearold accessories accuracy accurate along alternative american antimagnetic back balls battery began bohemia boudoir bringing brought brown bulova cage case charm cherry city classic clock clocks collection companies companys complement complemented contrast convenience corporation craftsmanship design desk diamond distortionfree dodge dream dues duracrystal emerged enduring energy enterprise every everyones evolve fashion faux features finally fine finest finish flying getting glass great greater guaranteed gymnasium hardwood heart heirloomquality home immigrant included inserts issued jewelry joseph lane leather lens made malden manufacturing marine market materials mechanical meet metal military minute modest movement movements needs new numbers offers one opened performance pocket precision preeminent presumably products protects quality quartz range realization requires returning schoolhouse scope scratchresistant shockresistant small solar sold solid sporty star stateoftheart stitching store style styling technologies technology timeless timepieces todays underappreciated unique unprecedented use uses veterans vintage wall war watch watches will within world wristwatches year york",3,0.894
"102",300,"keurig coffee maker"," coffee filter k45 kcup keurig kit maker packs water","",4,0.471
"103",302,"sports bra"," 2pack brahigh core danskin foam impact now push sport strength"," absorption activity addition adjust allday also basis bending black bra bracan breasts can comfort continuously contour core cup daily danskin day everyday excellent feel foam great gym itchy keeps lends like makes material mesh middle moisture nice now offers one padded physical place provides push running shape slight spilling sport sports squish strength support sweat ultimate underwire wear wet will without working worn worry",4,0
"104",305,"girls halloween costumes"," baby costume strawberry","",4,0.943
"105",307,"patio tables"," 48inch aluminum athens bucket cast ice outdoor somette table"," 17204485 accenting adaptability adjustable agedbronze aluminum athens beyond bowed bucket cast centertable characteristics cold designs drinks easy enamored feet finish fit functioning gatherings guests homes ice insets item keep latticestyle legs lovely memories needs never outdoor reach sets somette splendor table will within",3,0.471
"106",321,"toy trucks"," figure nickelodeon patrol paw recycling rockys truck vehicle"," adventure ages back beloved big brave bravery can chase choose compartments danger delighting direction easily fans features featuring figure fork friendship full fun give green help includes job just learn lift line marshall missions movable near nick nickelodeon one opening outfitted part patrol paw plucky popular pup pups pushed race real recommended recycling rescue rocky rockys rubble separately series show shows skye small sold straight taken teamwork toy toys transformation truck unique vehicle wheels working yelp young zuma",4,0
"107",322,"ray ban sunglasses"," 55mm ban black lens new ray rb2132 sunglasses transparentgreen wayfarer"," 100percent 1952 accented acetate always anywhere balanced black can classic coating combines constructed crystalized durable eye eyewear fashion feature frame frames green hollywood iconic immediately interpretation introduction lens lightweight logos look making modern never original put quintessential rayban raybans rb2132 recognizable rockandroll shape signature simply since slightly smaller softer style symbol taste temples twist updated uv400 wayfarer wayfarers world wrong",4,0
"108",323,"portable hard drive"," backup dell drive hard portable","",3,0.471
"109",334,"sports bra"," bra cami champion core power sports womens"," ll 4way attire bevy bra champion choose color colors comfortable coverage cups dry fabric find fitness keep keeps match medium moisturewicking musthave perfect soft sports stretch support supported sure want wardrobe womens",4,0.4
"110",336,"portable hard drive"," 1tb bonus bundle canvio case connect drive external hard portable toshiba value"," 1tb 2tb 5400 access affordable amazingly amount anywhere back backup can canvio carry computer connect desktop devices digital download drive easy even expanded external fast files flexible fullfeatured hard huge interface laptop lets media mobile new nimble offers performance performer pla plug plugged pocketsized portable precious rpm share speeds storage toshiba toshibas transfer upload usb versatile virtually",4,0
"111",338,"tv"," 1080p 32inch 60hz builtin e320fib2 fullarray hdtv led smart vizio wifi","",3,0.471
"112",339,"baseball photo frame"," baseball frame heart picture wooden","",4,0.471
"113",341,"assassinss creed"," 360 assassins creed rogue xbox"," 18th abilities addition adventurous air allnew allow also america americas american amid artic aside assassin assassins assassins atlantic attempt awardwinning away back become black bring brotherhood brothers builds called cast century change chaos chapter city cold colonies committed cormac course creed dangerous dark darkest darkness deadly descend diverse eagle end enemy enhanced environments events experience explore extraordinary far fate feared fearless features fight firsthand flag follow forever former franchise french future game gameplay goal goes grenade grim historyintroducing hunt hunter icy improved including indian journey launcher lead life like master member mission morrigan narrow naval new north open path patrick perspective play possesses pursuit response rifle river rogue seas set sets shape shay shays ship skills slow slowly story tactics templar three tragically transformation turned turns ultimate ultimately undergoes unique universe valley valleys vast violence vision war waters way weapons wild will willing wipe witness world wrong yet york young",4,0
